traits	Host	Region	lat	lon
AJB43015|Dom-gal|Africa|A/chicken/Egypt/1460S/2014|2014.151	Dom-gal	Africa	26.820553	30.802498
AEX32729|Wild-ans|Europe|A/swan/England/AV26-68/2008|2008.038	Wild-ans	Europe	52.3555177	-1.1743197
ABU99081|Dom-ans|SouthEasternAsia|A/Muscovy_Duck/Jakarta/HABWIN/2006|2006.666	Dom-ans	SouthEasternAsia	-6.2087634	106.845599
ACG58538|Dom-ans|SouthEasternAsia|A/duck/Vietnam/208/2005|2005.932	Dom-ans	SouthEasternAsia	14.058324	108.277199
ACR49185|Dom-ans|SouthEasternAsia|A/duck/East_Java/UT1046/2004|2004.192	Dom-ans	SouthEasternAsia	-7.5360639	112.2384017
AEH59122|Dom-ans|SouthEasternAsia|A/duck/Sleman/BBVW-379-34423/2007|2007.559	Dom-ans	SouthEasternAsia	-7.716165	110.335403
AEH59213|Dom-ans|SouthEasternAsia|A/duck/Magelang/BBVW-24-44380/2008|2008.038	Dom-ans	SouthEasternAsia	-7.4639801	110.2224273
AEK79831|Dom-ans|SouthEasternAsia|A/duck/Viet_Nam/TMU022/2009|2009.816	Dom-ans	SouthEasternAsia	14.058324	108.277199
AEN94734|Dom-ans|SouthEasternAsia|A/duck/Lao/968/2010|2010.200	Dom-ans	SouthEasternAsia	19.85627	102.495496
AIU46213|Dom-ans|SouthEasternAsia|A/duck/Khanhhoa/CVVI-30/2014|2014.099	Dom-ans	SouthEasternAsia	12.2499	109.196
AIZ06722|Dom-ans|SouthEasternAsia|A/duck/Vietnam/NCVD-KA105/2012|2012.049	Dom-ans	SouthEasternAsia	14.058324	108.277199
BAM36137|Dom-ans|SouthEasternAsia|A/muscovy_duck/Vietnam/LBM14/2011_|2011.718	Dom-ans	SouthEasternAsia	14.058324	108.277199
BAN59875|Dom-ans|SouthEasternAsia|A/muscovy_duck/Quang_Ninh/49/2013|2013.351	Dom-ans	SouthEasternAsia	21.006382	107.2925144
ABO30346|Dom-gal|SouthEasternAsia|A/chicken/Indonesia/7/2003|2003.967	Dom-gal	SouthEasternAsia	-0.789275	113.921327
ABU99025|Dom-gal|SouthEasternAsia|A/Chicken/Deli_Derdang/BBPVI/2005|2005.726	Dom-gal	SouthEasternAsia	3.4201802	98.704075
ACR49193|Dom-gal|SouthEasternAsia|A/chicken/East_Java/UT6016/2006|2006.871	Dom-gal	SouthEasternAsia	-7.5360639	112.2384017
AEH42686|Dom-gal|SouthEasternAsia|A/chicken/Denpasar/BBVD-145/2007|2007.233	Dom-gal	SouthEasternAsia	-8.65	115.216667
AEI26176|Dom-gal|SouthEasternAsia|A/chicken/Vietnam/20395/2009|2009.293	Dom-gal	SouthEasternAsia	14.058324	108.277199
AFF59165|Dom-gal|SouthEasternAsia|A/chicken/Cambodia/083LC/2011|2011.685	Dom-gal	SouthEasternAsia	12.565679	104.990963
AGH30707|Dom-gal|SouthEasternAsia|A/chicken/Malaysia/5744/2004|2004.625	Dom-gal	SouthEasternAsia	4.210484	101.975766
AHF20413|Dom-gal|SouthEasternAsia|A/chicken/Cambodia/X0815301/2013|2013.614	Dom-gal	SouthEasternAsia	12.565679	104.990963
AIU46214|Dom-gal|SouthEasternAsia|A/chicken/Khanhhoa/CVVI-31/2014|2014.101	Dom-gal	SouthEasternAsia	12.2499	109.196
