# BEAST v1.8.1, r6542
# Generated Mon Feb 16 10:25:11 GMT 2015 [seed=1424082293563]
state	posterior	prior	likelihood	treeModel.rootHeight	exponential.popSize	exponential.growthRate	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	clock.rate	CP1+2.treeLikelihood	CP3.treeLikelihood	coalescent
59000	-12122.246558578021	-372.1782053406773	-11750.068353237344	13.679808700697704	30.709962166569152	0.056294526228318015	8.553007425077649	13.298018483242107	0.3466665013704816	0.1813284258829916	0.19512192541492865	0.2768831473315979	0.13953348606376084	1.8838065347926933	0.5545191670229607	1.8909616659540787	0.005261235642647012	-5195.7802416824825	-6554.288111554861	-356.82269706627574
60000	-12128.37719982076	-367.7836239595275	-11760.593575861232	13.319787467278084	26.14242931812935	0.056294526228318015	7.063856312507019	13.298018483242107	0.3466665013704816	0.1813284258829916	0.19512192541492865	0.2768831473315979	0.13953348606376084	1.8235809540945922	0.5522182054284674	1.895563589143065	0.005182801671600292	-5202.582385530261	-6558.011190330972	-353.04016201834213
61000	-12119.297465194146	-368.98041024962936	-11750.317054944517	13.272543534884152	25.340909076312162	0.056294526228318015	7.063856312507019	13.298018483242107	0.34550317721057494	0.1813284258829916	0.19628524957483534	0.2768831473315979	0.13953348606376084	1.8235809540945922	0.5335161939041126	1.9329676121917747	0.00526806060068107	-5204.629810298552	-6545.687244645966	-354.2564791260015
62000	-12132.85699608407	-367.6828154106098	-11765.17418067346	13.335288435951451	27.12083638912535	0.056294526228318015	7.063856312507019	13.298018483242107	0.34550317721057494	0.1813284258829916	0.19628524957483534	0.2768831473315979	0.17777437160945622	1.8235809540945922	0.5724019154807025	1.855196169038595	0.005144713948804354	-5208.316623463956	-6556.857557209504	-352.8310540214098
63000	-12134.995295707615	-368.76672426467974	-11766.228571442934	13.35947943089811	25.509520518072794	0.056294526228318015	7.44926050469732	10.722415915312995	0.34550317721057494	0.1813284258829916	0.19628524957483534	0.2768831473315979	0.17777437160945622	2.059591192692808	0.6109814399339614	1.7780371201320773	0.005872560607084959	-5206.000113144578	-6560.228458298356	-353.7148781226091
64000	-12125.819344063737	-365.312464841139	-11760.506879222597	12.97744366137224	23.187927015231875	0.056294526228318015	8.270317947640763	10.722415915312995	0.34159458827932687	0.18018855733820283	0.20133370705087217	0.2768831473315979	0.17777437160945622	2.059591192692808	0.6005785465202377	1.7988429069595246	0.005911749383348793	-5204.113295616507	-6556.393583606092	-350.1722828341912
65000	-12114.993317879627	-366.01759648689125	-11748.975721392737	13.750645440691624	18.780376013109	0.04023698748391405	8.614923220317483	13.060328965773923	0.34159458827932687	0.18945330388400042	0.19206896050507458	0.2768831473315979	0.14618654707372217	2.059591192692808	0.6005785465202377	1.7988429069595246	0.005457165784115275	-5199.088712215242	-6549.887009177494	-350.9574760891743
66000	-12128.06237515801	-365.88126130277095	-11762.181113855238	13.750645440691624	22.651901276881347	0.034009601178067866	8.614923220317483	15.300040646013267	0.34159458827932687	0.18945330388400042	0.19206896050507458	0.2768831473315979	0.15661211357961083	2.059591192692808	0.5747918125115312	1.8504163749769376	0.005453260802143427	-5199.391455530642	-6562.7896583245965	-350.3558169756788
67000	-12116.466431501482	-365.85635627120087	-11750.610075230281	13.587316782739396	30.747208267012077	0.06602862228939257	7.249259642248451	13.642406934309808	0.34159458827932687	0.18945330388400042	0.19206896050507458	0.2768831473315979	0.15661211357961083	1.7803422371331803	0.5747918125115312	1.8504163749769376	0.005327501801505693	-5195.605974182567	-6555.004101047715	-350.78339400991416
68000	-12120.038038898785	-361.6868620448913	-11758.351176853894	13.0615748697324	27.03751308319188	0.06021253942136476	7.249259642248451	12.90504912173924	0.34159458827932687	0.18945330388400042	0.19206896050507458	0.2768831473315979	0.15661211357961083	1.7803422371331803	0.5747918125115312	1.8504163749769376	0.005464412566095828	-5204.640386994267	-6553.710789859627	-346.8963285994861
69000	-12112.784714186651	-362.2768886896914	-11750.50782549696	13.25019244869041	26.769180624969252	0.06021253942136476	7.490483740350046	12.90504912173924	0.34159458827932687	0.18945330388400042	0.19206896050507458	0.2768831473315979	0.13639375322440322	1.7803422371331803	0.5646579998030972	1.8706840003938057	0.005573203032498228	-5192.870220661349	-6557.63760483561	-347.4647803530084
70000	-12122.523515568833	-359.39452058320757	-11763.128994985625	13.0578730889095	28.276200803514005	0.06684232525165404	7.490483740350046	12.90504912173924	0.34159458827932687	0.18945330388400042	0.19206896050507458	0.2768831473315979	0.13639375322440322	2.0442835473906498	0.5769620521772322	1.8460758956455356	0.005386770250491965	-5201.698770111213	-6561.430224874412	-343.9584359587668
71000	-12131.636678368179	-362.2289360770412	-11769.407742291138	12.857223110280355	45.332279478223526	0.15287050067855792	7.490483740350046	13.656307315981374	0.34159458827932687	0.18945330388400042	0.19206896050507458	0.2768831473315979	0.12877646888988703	2.0442835473906498	0.5562521788532024	1.8874956422935951	0.005278146927234177	-5203.433194083484	-6565.974548207654	-345.3041164521294
72000	-12122.845502278633	-361.98193674735415	-11760.86356553128	13.348911111062868	40.083349428435774	0.12632229158482447	8.223448578326398	14.039598292036699	0.34159458827932687	0.18772343204614714	0.19732717741384384	0.27335480226068193	0.12877646888988703	2.0442835473906498	0.5260124195988263	1.9479751608023474	0.005502189750695142	-5202.99447789093	-6557.869087640349	-345.220583132362
73000	-12114.303388237222	-362.2775018846256	-11752.025886352596	12.793185159226145	48.89884492869143	0.1573546549373949	7.540040388335118	14.039598292036699	0.34159458827932687	0.18772343204614714	0.19732717741384384	0.27335480226068193	0.12990596262633544	2.0442835473906498	0.5423300584911852	1.9153398830176296	0.00550394845895081	-5210.649049940571	-6541.376836412026	-345.1236951225306
74000	-12111.32448002847	-362.71615633529194	-11748.608323693179	13.10661073903403	71.03287688029992	0.20232945997776422	7.685675340768585	14.517975263402962	0.3439510449619733	0.18658646587749655	0.19732717741384384	0.2721353117466861	0.12990596262633544	2.0442835473906498	0.5644734387366409	1.8710531225267182	0.005594528697371649	-5205.400353846469	-6543.20796984671	-344.5842483543344
