# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Jun 27 09:18:38 BST 2022 [seed=1656317905495]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa1	kappa2	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
52000	-42585.678336657926	-211.89963804931912	-42373.77869860861	0.6274086991194403	2021.775331026908	14.879025907844914	157.05648020230672	12.485268712686324	2.354678636408005	6.676960114708237	0.30111347185109405	0.1843317280370889	0.19385822096463243	0.32069657914718497	0.017157893158058365	4.8020841125617E-4	4.802084112561703E-4	-42373.77869860861	0.0	-196.8374265035996
53000	-42586.06111997973	-213.82217473556844	-42372.23894524416	0.6449754635681352	2021.7577642624592	14.957776944731899	113.77437512850695	11.69049178323194	3.3155889841082464	5.670135856894565	0.30162454469558464	0.1843317280370889	0.19267970129209938	0.32136402597522745	0.01724168966576051	5.309721482376513E-4	5.309721482376512E-4	-42372.23894524416	0.0	-199.80270799674886
54000	-42593.01552078702	-222.30458860037075	-42370.71093218665	0.661426382832863	2021.7413133431946	15.332222667766297	137.1121304534745	12.11886172149777	1.7958422671526042	5.152587560175654	0.30162454469558464	0.1843317280370889	0.1954800725321627	0.3185636547351641	0.015419763108266772	4.5581702750762564E-4	4.5581702750762537E-4	-42370.71093218665	0.0	-208.3443603716651
55000	-42586.87011985712	-219.43986262091096	-42367.430257236214	0.7039900091826536	2021.6987497168448	15.20580865185084	171.62628192089838	12.331929886886131	2.0360979118076967	5.3297874471342555	0.2989894637343067	0.18639409422262224	0.1954800725321627	0.31913636951090874	0.011084618746893154	4.797117609382764E-4	4.797117609382763E-4	-42367.430257236214	0.0	-204.91812188420704
56000	-42578.854726496706	-216.68059582494482	-42362.17413067176	0.6711736599482658	2021.7315660660793	15.154950198276415	103.3592586091628	11.054864763917848	2.0387456429310076	5.910873902222267	0.29468979683880214	0.1823958370416147	0.19947832971317025	0.3234360364064133	0.014375197620324503	4.4517071470299513E-4	4.4517071470299513E-4	-42362.17413067176	0.0	-203.76531831290166
57000	-42591.549076184354	-219.39708400037833	-42372.15199218398	0.6370189738134932	2021.765720752214	15.381033452156812	89.93019219716346	10.30195463393827	2.4728970177616554	7.714444990344671	0.2964502843362038	0.1823958370416147	0.1978473998742276	0.32330647874795426	0.016374057702873566	4.0405179206902864E-4	4.0405179206902885E-4	-42372.15199218398	0.0	-206.75541221769853
58000	-42585.650414632895	-218.36849201282237	-42367.28192262007	0.6353244519661384	2021.7674152740612	15.115248450823742	77.24699417955202	9.827067800387798	2.7299366851869293	7.265713567510042	0.29724482787604467	0.18593848624816148	0.1943047506676808	0.3225119352081134	0.022245164376821964	5.057563392495001E-4	5.057563392495003E-4	-42367.28192262007	0.0	-206.4001852746228
59000	-42592.10691490733	-212.94002288614936	-42379.16689202118	0.6726474673064118	2021.730092258721	14.907437998185411	81.09870241073001	10.821014164166034	1.7821605196816652	4.997909866780222	0.2978227204221845	0.18212716856044694	0.1943047506676808	0.3257453603496881	0.02915759485850619	4.475354202797897E-4	4.475354202797897E-4	-42379.16689202118	0.0	-200.8190142271333
60000	-42587.88559538847	-211.5931965111344	-42376.29239887733	0.6920417994038371	2021.7106979266237	15.199779802692372	63.01686341234421	9.704392840757702	1.92376503115656	4.877601861204166	0.3018558588342161	0.1799271251455671	0.1981484496611568	0.3200685663590603	0.08133078001248811	5.003015520178847E-4	5.003015520178843E-4	-42376.29239887733	0.0	-200.7404898219773
61000	-42583.50502067492	-208.25814914710242	-42375.24687152782	0.701324236218543	2021.7014154898088	14.878761834394707	56.92659889779884	9.590503339550944	2.3356059429000666	5.566626698416158	0.2969491792607486	0.18460450468545378	0.19946543287295487	0.318980883180843	0.039540237537336244	4.744070582502033E-4	4.744070582502031E-4	-42375.24687152782	0.0	-197.3410051841557
62000	-42581.879969221845	-205.27524687621275	-42376.60472234563	0.6837257410914661	2021.719013984936	14.466544323063829	44.151040501149595	9.309487734711329	3.442675810084109	5.52234361408462	0.2969491792607486	0.18349121721960054	0.19946543287295487	0.32009417064669626	0.04230528302245208	4.7211857519478465E-4	4.7211857519478465E-4	-42376.60472234563	0.0	-194.49968855494393
63000	-42579.11412535556	-201.12718941897072	-42377.98693593659	0.7675183411183857	2021.635221384909	14.349216026854927	31.8343767062778	8.311067873167286	2.3984582417474978	4.664846548531725	0.2978564461650199	0.18289226018114624	0.19765981705152796	0.3215914766023062	0.07427142294165154	5.253436604210384E-4	5.253436604210383E-4	-42377.98693593659	0.0	-192.25032249180038
64000	-42564.08681323481	-198.70043560582315	-42365.38637762899	0.7207211582748801	2021.6820185677525	13.923119287917107	33.17346993886274	8.389682611120566	1.70724337514751	6.198969810473221	0.2985243664413822	0.18259689935718118	0.19765981705152796	0.32121891714990897	0.10753283567232079	5.12837314106409E-4	5.128373141064088E-4	-42365.38637762899	0.0	-189.49847369931027
65000	-42561.034495284264	-198.34992083273954	-42362.68457445152	0.6629703714108607	2021.7397693546166	13.406657751274023	40.71454222810904	8.686517396631842	2.2286100964157334	5.781685476771064	0.3002164102584409	0.18016246514872428	0.20009425125998487	0.31952687333285024	0.11810388703252932	6.084003278652436E-4	6.084003278652436E-4	-42362.68457445152	0.0	-188.5621426617189
66000	-42550.57204542424	-188.91240784292881	-42361.65963758131	0.6204197154073109	2021.7823200106202	12.83120993886606	31.058388717508922	8.765127889459247	2.964412665263267	7.3591233957995446	0.3002164102584409	0.18016246514872428	0.1929528034365134	0.3266683211563217	0.09584466570025792	5.879877855695287E-4	5.879877855695281E-4	-42361.65963758131	0.0	-178.7015790953874
67000	-42543.19102237755	-181.05064664226623	-42362.14037573528	0.6222875666988541	2021.7804521593287	12.665091310522621	27.523500315064076	8.482066573732045	2.3392206406489944	6.764657723048995	0.2967671745685023	0.1819406329209585	0.1933573845263707	0.32793480798416874	0.054187249102430064	6.137193945810344E-4	6.137193945810341E-4	-42362.14037573528	0.0	-171.70498805451695
68000	-42542.19357071958	-179.05970565871786	-42363.13386506086	0.6586750248933356	2021.7440647011342	12.56045660792615	22.992744010724635	8.13577302781682	2.8987214807102792	6.426001319941801	0.2953406751412584	0.1819406329209585	0.19478388395361465	0.32793480798416874	0.04894387662921643	6.191446818127395E-4	6.191446818127397E-4	-42363.13386506086	0.0	-170.12469656026926
69000	-42533.549079309196	-173.64754985926803	-42359.901529449926	0.6213749084657314	2021.7813648175618	12.19377608617487	16.01722695876275	6.953055037868253	2.4095005948121724	5.507872902312867	0.2940676137740283	0.18098209628885809	0.19478388395361465	0.3301664059834992	0.053742643976164045	6.14776056408854E-4	6.14776056408854E-4	-42359.901529449926	0.0	-166.65848090168765
70000	-42539.373962948615	-177.95539858972606	-42361.418564358886	0.6157024408646224	2021.7870372851628	12.296617962129679	19.641047896964295	7.368469295014359	2.1528216441544763	5.861460027272971	0.29634597829031223	0.18029623668717892	0.1931913790390099	0.3301664059834992	0.04435833783406269	6.708131339874853E-4	6.708131339874856E-4	-42361.418564358886	0.0	-170.39405158571498
71000	-42529.28029860304	-181.06808342389053	-42348.21221517915	0.5956883225262155	2021.8070514035012	12.561879789445868	28.998808992689025	9.118619414685286	2.997409428680304	7.378446688680209	0.29547256624423507	0.1835850267733501	0.19686673455613882	0.3240756724262763	0.03920302229010758	5.842384783296608E-4	5.842384783296605E-4	-42348.21221517915	0.0	-170.66809008570118
72000	-42509.8719450699	-180.18111004874726	-42329.69083502115	0.596858933061231	2021.8058807929663	12.502507054596327	36.56006716413523	9.017948827379449	2.3818360200985094	7.077886450763338	0.2940050225466358	0.18244726432118444	0.1994720407059037	0.3240756724262763	0.07025452154311483	5.682855434244645E-4	5.68285543424464E-4	-42329.69083502115	0.0	-169.87618266094796
73000	-42503.29542566058	-172.97807471590338	-42330.31735094468	0.6376238548167802	2021.7651158712106	12.565265676413468	26.011664916507705	8.551680606935678	1.5635954989973182	4.843807651953894	0.29639169981075125	0.18244726432118444	0.19438063494540456	0.32678040092266	0.04999643553920428	6.012681747573772E-4	6.012681747573773E-4	-42330.31735094468	0.0	-164.42817986693382
74000	-42485.70219374501	-168.64661012064334	-42317.055583624366	0.6040235453647966	2021.7987161806627	12.020815662049447	29.672967004667996	9.101233483485787	1.798175424069816	6.199256532908192	0.2983079177904077	0.18053104634152797	0.1959708818448587	0.32519015402320584	0.06612974207007323	4.934839279522266E-4	4.934839279522267E-4	-42317.055583624366	0.0	-158.88042437265253
